timestamp,origin,destination,distance_mi,eta_min,freeflow_min,route_description
2025-10-16T18:04:48-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.55,43.8,30.3,I-90 W
2025-10-16T18:31:50-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,39.7,30.7,I-90 W
2025-10-16T18:41:43-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,37.5,30.7,I-90 W
2025-10-16T18:50:22-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,35.6,30.7,I-90 W
2025-10-16T18:58:14-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.27,33.6,30.7,I-90 W
2025-10-16T19:13:44-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,30.9,30.7,I-90 W
2025-10-16T19:24:30-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,32.1,30.7,I-90 W
2025-10-16T19:38:19-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,30.8,30.7,I-90 W
2025-10-16T19:47:08-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,29.9,30.7,I-90 W
2025-10-16T19:54:56-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,29.4,30.7,I-90 W
2025-10-17T05:34:29-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,25.7,30.7,I-90 W
2025-10-17T05:45:42-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,26.4,30.7,I-90 W
2025-10-17T05:53:51-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.26,26.5,30.7,I-90 W
2025-10-17T06:39:38-04:00,"267 Princeton St, Boston, MA","425 Waverley Oaks Rd #250, Waltham, MA 02452",14.01,34.0,34.1,I-90 W
